,set,e,calo,diff,err
0,1A,1100-1300,1,0.03339877620815114,0.017948321020077165
1,1A,1100-1300,2,0.05266870345962152,0.020039265172218906
2,1A,1100-1300,3,0.010320749288430742,0.017529264764284642
3,1A,1100-1300,4,0.02454991037326537,0.018362293185108115
4,1A,1100-1300,5,0.005657643798143486,0.017695195992840577
5,1A,1100-1300,6,0.020664166109949367,0.018044589683343683
6,1A,1100-1300,7,0.006542481793275989,0.01918211424944957
7,1A,1100-1300,8,0.01385130156640646,0.017602283848121347
8,1A,1100-1300,9,0.022254087225696058,0.018552673233388564
9,1A,1100-1300,10,0.04009725288475435,0.017468169143349605
10,1A,1100-1300,11,0.035316539029124516,0.017199723733251966
11,1A,1100-1300,12,0.03335350365234657,0.018158961853120895
12,1A,1100-1300,13,0.02232666771027214,0.016235264355680266
13,1A,1100-1300,14,0.03741078476802556,0.016866887271886403
14,1A,1100-1300,15,0.024450063986644954,0.017879162591353373
15,1A,1100-1300,16,0.00889466275839712,0.018899906948951824
16,1A,1100-1300,17,0.07594621190998008,0.01824601635964782
17,1A,1100-1300,18,0.025647095419278676,0.01873560542140081
18,1A,1100-1300,19,0.03510927314666851,0.0164094970555229
19,1A,1100-1300,20,0.0349169859001629,0.018771289784755868
20,1A,1100-1300,21,0.06152069886573397,0.017637824413320343
21,1A,1100-1300,22,0.060846272801171164,0.01826565181366512
22,1A,1100-1300,23,0.04833383746304576,0.017857631325132958
23,1A,1100-1300,24,0.0449530702199733,0.017708207134390582
24,1A,1300-1500,1,0.03570148536798426,0.018786232258181195
25,1A,1300-1500,2,-0.009830857516911679,0.02048278109592183
26,1A,1300-1500,3,0.039088571249323634,0.018023079936030282
27,1A,1300-1500,4,0.054914089489954854,0.017940696605624144
28,1A,1300-1500,5,-0.002038572316476639,0.01808192942546627
29,1A,1300-1500,6,0.021576632924613315,0.01827478998587431
30,1A,1300-1500,7,0.04515536624173877,0.01863899757288668
31,1A,1300-1500,8,0.015761866963438315,0.016684898584563058
32,1A,1300-1500,9,5.901396020746574e-06,0.01813102282079359
33,1A,1300-1500,10,0.038774306771871075,0.01851101096447039
34,1A,1300-1500,11,0.04470942125148615,0.018145709471588306
35,1A,1300-1500,12,0.037972552800644044,0.0177573681976223
36,1A,1300-1500,13,0.023289068609955277,0.015684601873609982
37,1A,1300-1500,14,0.04748586104774136,0.017935356391639543
38,1A,1300-1500,15,0.026522512132360593,0.017725544823133883
39,1A,1300-1500,16,0.04618219673317542,0.01748264263846144
40,1A,1300-1500,17,0.039527590422421044,0.017165110521137637
41,1A,1300-1500,18,0.032982489187290964,0.018875174101296324
42,1A,1300-1500,19,0.027772461420021433,0.016505587550348175
43,1A,1300-1500,20,-0.00588909354008077,0.017683171027954494
44,1A,1300-1500,21,0.03830149591403126,0.017120297511169384
45,1A,1300-1500,22,0.04207749620819845,0.017081390497510795
46,1A,1300-1500,23,0.02486499451447166,0.017003438058752134
47,1A,1300-1500,24,0.06655942158506856,0.018525055181644573
48,1A,1500-1700,1,0.018246722128537368,0.018246568481303082
49,1A,1500-1700,2,0.028258506815725823,0.019818572976919163
50,1A,1500-1700,3,0.008037981361570301,0.01885634394298332
51,1A,1500-1700,4,0.02364964361579347,0.018164428558729524
52,1A,1500-1700,5,0.028273486956281957,0.019172749839014114
53,1A,1500-1700,6,0.03710054599276047,0.018517357997703883
54,1A,1500-1700,7,0.04161479052789718,0.01911004121106462
55,1A,1500-1700,8,0.012369038246899555,0.017454778040385612
56,1A,1500-1700,9,0.03459508621366907,0.01971672963767814
57,1A,1500-1700,10,0.03644835189572716,0.018501849395227022
58,1A,1500-1700,11,0.04746133534493896,0.0185296638540532
59,1A,1500-1700,12,0.046508853938524906,0.017570431143056627
60,1A,1500-1700,13,0.03557740387420816,0.016480964706674723
61,1A,1500-1700,14,0.056042270986942866,0.019781471068741122
62,1A,1500-1700,15,0.02600682484149497,0.017147646915694727
63,1A,1500-1700,16,0.026939246443842157,0.01953418864821256
64,1A,1500-1700,17,0.03578045132706231,0.01721666423709345
65,1A,1500-1700,18,0.07863417752165214,0.01847578747705817
66,1A,1500-1700,19,0.03963708179926369,0.01596451895566013
67,1A,1500-1700,20,0.019460339830973283,0.01991435209487668
68,1A,1500-1700,21,0.020343605778740614,0.018330728603823076
69,1A,1500-1700,22,0.0171942497868951,0.018529161982954685
70,1A,1500-1700,23,0.01288819746184311,0.01757753559493608
71,1A,1500-1700,24,0.009710883617974564,0.019029706774989868
72,1A,1700-1900,1,0.0468249022133983,0.018896760299824348
73,1A,1700-1900,2,0.03236573081388361,0.02180381584599898
74,1A,1700-1900,3,-0.01908710884186493,0.018460026304256687
75,1A,1700-1900,4,0.0013213486674300556,0.01890796167623933
76,1A,1700-1900,5,0.012892125672331556,0.018211565644589495
77,1A,1700-1900,6,0.022219787210418396,0.01982354513110936
78,1A,1700-1900,7,0.027592413592229192,0.02083556958679946
79,1A,1700-1900,8,0.03623562351250159,0.018240125230126556
80,1A,1700-1900,9,0.04697372647800338,0.0192470803057378
81,1A,1700-1900,10,0.003261343406197159,0.019903225701310617
82,1A,1700-1900,11,0.007375582726896923,0.01922049003692038
83,1A,1700-1900,12,0.023060142336233935,0.01800411172910749
84,1A,1700-1900,13,0.03096176405721951,0.016869827502886518
85,1A,1700-1900,14,0.04654850877515915,0.01923890318578519
86,1A,1700-1900,15,0.03043053989095368,0.018268398837488507
87,1A,1700-1900,16,0.04090715693351893,0.021127330179093184
88,1A,1700-1900,17,0.046650867156572406,0.018200323785869887
89,1A,1700-1900,18,0.09977109167177445,0.019233016227092507
90,1A,1700-1900,19,0.03091512708566459,0.01629656883251584
91,1A,1700-1900,20,0.005916865323356446,0.018488017079420816
92,1A,1700-1900,21,0.04024081298243598,0.017683882550846606
93,1A,1700-1900,22,-7.889111955261541e-05,0.01889901347363907
94,1A,1700-1900,23,0.023646235375878955,0.017866993316573144
95,1A,1700-1900,24,0.04224840017649778,0.01902966307135397
96,1A,1900-2100,1,0.004997860750408423,0.019110679098897184
97,1A,1900-2100,2,0.055533439161819576,0.02401994926219962
98,1A,1900-2100,3,-0.004790696494115343,0.02009415038956036
99,1A,1900-2100,4,0.013123217164031642,0.02008852603171656
100,1A,1900-2100,5,0.001434225819621382,0.020021468401503567
101,1A,1900-2100,6,0.03080797980906813,0.020253228233958663
102,1A,1900-2100,7,0.03655985999729561,0.02161263737390348
103,1A,1900-2100,8,0.06651493195688518,0.020125128628799966
104,1A,1900-2100,9,0.05848748267902766,0.020739439983748983
105,1A,1900-2100,10,-0.011640622776887766,0.021334343139529706
106,1A,1900-2100,11,0.047603641063033386,0.019318183774587168
107,1A,1900-2100,12,0.0381645327456831,0.01824797564294325
108,1A,1900-2100,13,0.040346373790135504,0.017416782552442903
109,1A,1900-2100,14,0.03394251068990628,0.02049843468374049
110,1A,1900-2100,15,0.05414003023481129,0.02002086971432388
